Week,Day,Time_Slot,Subject,Expected_Students,Actual_Students,Reduction_Percent,Is_Lab,Is_Free,Expected_Zone_Level,Actual_Zone_Level,Zone_Action
7,Monday,10:30-12:15,C,60,59,1.67,No,No,3,3,HIGH
7,Monday,1:10-3:00,F,53,52,1.89,No,No,3,3,HIGH
7,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
7,Tuesday,8:30-10:15,E,60,48,20.0,No,No,3,3,HIGH
7,Tuesday,10:30-12:15,F,53,43,18.87,No,No,3,2,MEDIUM
7,Tuesday,1:10-3:00,A,70,60,14.29,Yes,No,4,3,HIGH
7,Tuesday,3:30-4:45,A,70,66,5.71,Yes,No,4,4,HIGH
7,Wednesday,8:30-10:15,B,65,52,20.0,No,No,4,3,HIGH
7,Wednesday,10:30-12:15,H,40,34,15.0,No,No,2,2,MEDIUM
7,Wednesday,1:10-3:00,F,53,45,15.09,No,No,3,3,HIGH
7,Wednesday,3:30-4:45,E,60,55,8.33,No,No,3,3,HIGH
7,Thursday,8:30-10:15,C,60,57,5.0,No,No,3,3,HIGH
7,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
7,Thursday,1:10-3:00,H,40,39,2.5,No,No,2,2,MEDIUM
7,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
7,Friday,8:30-10:15,D,39,32,17.95,No,No,2,2,MEDIUM
7,Friday,10:30-12:15,B,65,59,9.23,No,No,4,3,HIGH
7,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
7,Friday,3:30-4:45,Z,70,67,4.29,No,No,4,4,HIGH
8,Monday,8:30-10:15,A,70,66,5.71,No,No,4,4,HIGH
8,Monday,10:30-12:15,C,60,53,11.67,No,No,3,3,HIGH
8,Monday,1:10-3:00,F,53,51,3.77,No,No,3,3,HIGH
8,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
8,Tuesday,8:30-10:15,E,60,50,16.67,No,No,3,3,HIGH
8,Tuesday,10:30-12:15,F,53,45,15.09,No,No,3,3,HIGH
8,Tuesday,1:10-3:00,A,70,60,14.29,Yes,No,4,3,HIGH
8,Tuesday,3:30-4:45,A,70,64,8.57,Yes,No,4,4,HIGH
8,Wednesday,8:30-10:15,B,65,57,12.31,No,No,4,3,HIGH
8,Wednesday,10:30-12:15,H,40,35,12.5,No,No,2,2,MEDIUM
8,Wednesday,1:10-3:00,F,53,46,13.21,No,No,3,3,HIGH
8,Wednesday,3:30-4:45,E,60,59,1.67,No,No,3,3,HIGH
8,Thursday,8:30-10:15,C,60,55,8.33,No,No,3,3,HIGH
8,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
8,Thursday,1:10-3:00,H,40,40,0.0,No,No,2,2,MEDIUM
8,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
8,Friday,8:30-10:15,D,39,35,10.26,No,No,2,2,MEDIUM
8,Friday,10:30-12:15,B,65,61,6.15,No,No,4,3,HIGH
8,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
8,Friday,3:30-4:45,Z,70,68,2.86,No,No,4,4,HIGH
9,Monday,8:30-10:15,A,70,69,1.43,No,No,4,4,HIGH
9,Monday,10:30-12:15,C,60,53,11.67,No,No,3,3,HIGH
9,Monday,1:10-3:00,F,53,51,3.77,No,No,3,3,HIGH
9,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
9,Tuesday,8:30-10:15,E,60,49,18.33,No,No,3,3,HIGH
9,Tuesday,10:30-12:15,F,53,47,11.32,No,No,3,3,HIGH
9,Tuesday,1:10-3:00,A,70,65,7.14,Yes,No,4,4,HIGH
9,Tuesday,3:30-4:45,A,70,62,11.43,Yes,No,4,4,HIGH
9,Wednesday,8:30-10:15,B,65,65,0.0,No,No,4,4,HIGH
9,Wednesday,10:30-12:15,H,40,32,20.0,No,No,2,2,MEDIUM
9,Wednesday,1:10-3:00,F,53,48,9.43,No,No,3,3,HIGH
9,Wednesday,3:30-4:45,E,60,51,15.0,No,No,3,3,HIGH
9,Thursday,8:30-10:15,C,60,59,1.67,No,No,3,3,HIGH
9,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
9,Thursday,1:10-3:00,H,40,36,10.0,No,No,2,2,MEDIUM
9,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
9,Friday,8:30-10:15,D,39,35,10.26,No,No,2,2,MEDIUM
9,Friday,10:30-12:15,B,65,53,18.46,No,No,4,3,HIGH
9,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
9,Friday,3:30-4:45,Z,70,62,11.43,No,No,4,4,HIGH
10,Monday,8:30-10:15,A,70,63,10.0,No,No,4,4,HIGH
10,Monday,10:30-12:15,C,60,57,5.0,No,No,3,3,HIGH
10,Monday,1:10-3:00,F,53,49,7.55,No,No,3,3,HIGH
10,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
10,Tuesday,8:30-10:15,E,60,54,10.0,No,No,3,3,HIGH
10,Tuesday,10:30-12:15,F,53,48,9.43,No,No,3,3,HIGH
10,Tuesday,1:10-3:00,A,70,70,0.0,Yes,No,4,4,HIGH
10,Tuesday,3:30-4:45,A,70,58,17.14,Yes,No,4,3,HIGH
10,Wednesday,8:30-10:15,B,65,53,18.46,No,No,4,3,HIGH
10,Wednesday,10:30-12:15,H,40,39,2.5,No,No,2,2,MEDIUM
10,Wednesday,1:10-3:00,F,53,47,11.32,No,No,3,3,HIGH
10,Wednesday,3:30-4:45,E,60,59,1.67,No,No,3,3,HIGH
10,Thursday,8:30-10:15,C,60,52,13.33,No,No,3,3,HIGH
10,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
10,Thursday,1:10-3:00,H,40,38,5.0,No,No,2,2,MEDIUM
10,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
10,Friday,8:30-10:15,D,39,34,12.82,No,No,2,2,MEDIUM
10,Friday,10:30-12:15,B,65,56,13.85,No,No,4,3,HIGH
10,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
10,Friday,3:30-4:45,Z,70,59,15.71,No,No,4,3,HIGH
11,Monday,8:30-10:15,A,70,68,2.86,No,No,4,4,HIGH
11,Monday,10:30-12:15,C,60,49,18.33,No,No,3,3,HIGH
11,Monday,1:10-3:00,F,53,51,3.77,No,No,3,3,HIGH
11,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
11,Tuesday,8:30-10:15,E,60,60,0.0,No,No,3,3,HIGH
11,Tuesday,10:30-12:15,F,53,47,11.32,No,No,3,3,HIGH
11,Tuesday,1:10-3:00,A,70,65,7.14,Yes,No,4,4,HIGH
11,Tuesday,3:30-4:45,A,70,58,17.14,Yes,No,4,3,HIGH
11,Wednesday,8:30-10:15,B,65,54,16.92,No,No,4,3,HIGH
11,Wednesday,10:30-12:15,H,40,37,7.5,No,No,2,2,MEDIUM
11,Wednesday,1:10-3:00,F,53,43,18.87,No,No,3,2,MEDIUM
11,Wednesday,3:30-4:45,E,60,57,5.0,No,No,3,3,HIGH
11,Thursday,8:30-10:15,C,60,54,10.0,No,No,3,3,HIGH
11,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
11,Thursday,1:10-3:00,H,40,38,5.0,No,No,2,2,MEDIUM
11,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
11,Friday,8:30-10:15,D,39,32,17.95,No,No,2,2,MEDIUM
11,Friday,10:30-12:15,B,65,63,3.08,No,No,4,4,HIGH
11,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
11,Friday,3:30-4:45,Z,70,69,1.43,No,No,4,4,HIGH
12,Monday,8:30-10:15,A,70,64,8.57,No,No,4,4,HIGH
12,Monday,10:30-12:15,C,60,48,20.0,No,No,3,3,HIGH
12,Monday,1:10-3:00,F,53,44,16.98,No,No,3,3,HIGH
12,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
12,Tuesday,8:30-10:15,E,60,51,15.0,No,No,3,3,HIGH
12,Tuesday,10:30-12:15,F,53,44,16.98,No,No,3,3,HIGH
12,Tuesday,1:10-3:00,A,70,57,18.57,Yes,No,4,3,HIGH
12,Tuesday,3:30-4:45,A,70,63,10.0,Yes,No,4,4,HIGH
12,Wednesday,8:30-10:15,B,65,61,6.15,No,No,4,3,HIGH
12,Wednesday,10:30-12:15,H,40,34,15.0,No,No,2,2,MEDIUM
12,Wednesday,1:10-3:00,F,53,46,13.21,No,No,3,3,HIGH
12,Wednesday,3:30-4:45,E,60,56,6.67,No,No,3,3,HIGH
12,Thursday,8:30-10:15,C,60,59,1.67,No,No,3,3,HIGH
12,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
12,Thursday,1:10-3:00,H,40,34,15.0,No,No,2,2,MEDIUM
12,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
12,Friday,8:30-10:15,D,39,37,5.13,No,No,2,2,MEDIUM
12,Friday,10:30-12:15,B,65,53,18.46,No,No,4,3,HIGH
12,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
12,Friday,3:30-4:45,Z,70,67,4.29,No,No,4,4,HIGH
synthetic,Synthetic,-,-,0,20,0.0,No,Yes,0,1,LOW
synthetic,Synthetic,-,-,0,40,0.0,No,Yes,0,2,LOW
synthetic,Synthetic,-,-,60,0,100.0,No,No,3,0,LOW
synthetic,Synthetic,-,-,70,0,100.0,No,No,4,0,LOW
synthetic,Synthetic,-,-,60,15,75.0,No,No,3,1,LOW
synthetic,Synthetic,-,-,70,18,74.0,No,No,4,1,LOW
